Entry,MS (300),AVG MS
AaronSpjut,2005,6.68
AaronSpjut,2009,6.70
AaronSpjut,2003,6.68
AaronSpjut,2001,6.67
AaronSpjut,2014,6.71
AlexMcEachran,1060,3.53
AlexMcEachran,1068,3.56
AlexMcEachran,999,3.33
AlexMcEachran,1054,3.51
AlexMcEachran,1078,3.59
AndrewTraviss,739,2.46
AndrewTraviss,734,2.45
AndrewTraviss,719,2.40
AndrewTraviss,772,2.57
AndrewTraviss,740,2.47
ArnaudGatouillat,479,1.60
ArnaudGatouillat,482,1.61
ArnaudGatouillat,470,1.57
ArnaudGatouillat,477,1.59
ArnaudGatouillat,476,1.59
BertrandLarrieu,658,2.19
BertrandLarrieu,661,2.20
BertrandLarrieu,660,2.20
BertrandLarrieu,662,2.21
BertrandLarrieu,663,2.21
CayGarrido/1,1305,4.35
CayGarrido/1,1302,4.34
CayGarrido/1,1304,4.35
CayGarrido/1,1297,4.32
CayGarrido/1,1299,4.33
CayGarrido/2,1446,4.82
CayGarrido/2,1450,4.83
CayGarrido/2,1457,4.86
CayGarrido/2,1438,4.79
CayGarrido/2,1446,4.82
DanielKerner/1,6842,22.81
DanielKerner/1,6897,22.99
DanielKerner/1,6845,22.82
DanielKerner/1,6811,22.70
DanielKerner/1,6843,22.81
DanielKerner/2,2387,7.96
DanielKerner/2,2397,7.99
DanielKerner/2,2426,8.09
DanielKerner/2,2441,8.14
DanielKerner/2,2425,8.08
DevonWolfgan,13670,45.57
DevonWolfgan,12457,41.52
DevonWolfgan,14230,47.43
DevonWolfgan,14101,47.00
DevonWolfgan,14353,47.84
GrantSkinner,530,1.77
GrantSkinner,530,1.77
GrantSkinner,526,1.75
GrantSkinner,520,1.73
GrantSkinner,528,1.76
GregoryPelletier,1558,5.19
GregoryPelletier,1519,5.06
GregoryPelletier,1578,5.26
GregoryPelletier,1504,5.01
GregoryPelletier,1577,5.26
HuyeTueDao,1228,4.09
HuyeTueDao,1250,4.17
HuyeTueDao,1253,4.18
HuyeTueDao,1218,4.06
HuyeTueDao,1223,4.08
IainLobb,1426,4.75
IainLobb,1432,4.77
IainLobb,1432,4.77
IainLobb,1424,4.75
IainLobb,1438,4.79
IanThomas/1,1696,5.65
IanThomas/1,1770,5.90
IanThomas/1,1686,5.62
IanThomas/1,1738,5.79
IanThomas/1,1766,5.89
IanThomas/2,5498,18.33
IanThomas/2,5295,17.65
IanThomas/2,5395,17.98
IanThomas/2,5318,17.73
IanThomas/2,5341,17.80

JeanPhillippAuclair,567,1.89
JeanPhillippAuclair,563,1.88
JeanPhillippAuclair,569,1.90
JeanPhillippAuclair,558,1.86
JeanPhillippAuclair,568,1.89
JensWegar,1231,4.10
JensWegar,1179,3.93
JensWegar,1222,4.07
JensWegar,1151,3.84
JensWegar,1190,3.97
JimCheng,538,1.79
JimCheng,553,1.84
JimCheng,544,1.81
JimCheng,539,1.80
JimCheng,545,1.82
JonasMonnier,648,2.16
JonasMonnier,650,2.17
JonasMonnier,649,2.16
JonasMonnier,657,2.19
JonasMonnier,647,2.16
JonNew,2515,8.38
JonNew,2512,8.37
JonNew,2511,8.37
JonNew,2548,8.49
JonNew,2488,8.29
KermitHu,7780,25.93
KermitHu,8318,27.73
KermitHu,7058,23.53
KermitHu,7817,26.06
KermitHu,7162,23.87
MarcinSzczepanski,638,2.13
MarcinSzczepanski,633,2.11
MarcinSzczepanski,635,2.12
MarcinSzczepanski,638,2.13
MarcinSzczepanski,639,2.13
MarkStarling,1378,4.59
MarkStarling,1479,4.93
MarkStarling,1422,4.74
MarkStarling,1334,4.45
MarkStarling,1425,4.75
MihaiAexandruBirsan,2612,8.71
MihaiAexandruBirsan,2596,8.65
MihaiAexandruBirsan,2644,8.81
MihaiAexandruBirsan,2605,8.68
MihaiAexandruBirsan,2657,8.86
MikeChambers,986,3.29
MikeChambers,986,3.29
MikeChambers,979,3.26
MikeChambers,993,3.31
MikeChambers,973,3.24
PhillipChertok,1180,3.93
PhillipChertok,1151,3.84
PhillipChertok,1153,3.84
PhillipChertok,1200,4.00
PhillipChertok,1181,3.94
RossGerbasi,2795,9.32
RossGerbasi,2750,9.17
RossGerbasi,2777,9.26
RossGerbasi,2761,9.20
RossGerbasi,2833,9.44
SeanChristman,987,3.29
SeanChristman,982,3.27
SeanChristman,983,3.28
SeanChristman,983,3.28
SeanChristman,984,3.28
SteveSedlmayr,1235,4.12
SteveSedlmayr,1241,4.14
SteveSedlmayr,1241,4.14
SteveSedlmayr,1249,4.16
SteveSedlmayr,1227,4.09
VladimirAngelov,880,2.93
VladimirAngelov,869,2.90
VladimirAngelov,891,2.97
VladimirAngelov,900,3.00
VladimirAngelov,845,2.82
WaiLam,1434,4.78
WaiLam,1438,4.79
WaiLam,1444,4.81
WaiLam,1421,4.74
WaiLam,1470,4.90
yuku/1,767,2.56
yuku/1,779,2.60
yuku/1,772,2.57
yuku/1,775,2.58
yuku/1,781,2.60
yuku/2,594,1.98
yuku/2,620,2.07
yuku/2,579,1.93
yuku/2,617,2.06
yuku/2,603,2.01
